DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ACQDATE,ORIGCTY,COLLSITE,DECLATITUDE,DECLONGITUDE,ELEVATION,COLLDATE,COLLSRC
10.18730/K38B2,G9870,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,MEXICO D.F. - MEXICO D.F. - MEXICO,19.4,-99.15,2530.0,19770601.0,40.0
10.18730/K411F,G985A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19700901,MEX,COMITÁN DE DOMÍNGUEZ - COMITAN DE DOMINGUEZ - CHIAPAS,16.27,-92.13,1660.0,19700901.0,40.0
10.18730/K3GJ6,G9830,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,"CERRO DE VARAGAS, NEAR STATE LINE GTO.-MICH. - PENJAMO - GUANAJUATO",20.35,-101.97,,19770601.0,40.0
10.18730/JNX2K,G9828,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,NOCHISTLAN - NOCHISTLAN - ZACATECAS,21.35,-102.81,,19781001.0,40.0
10.18730/JNX3M,G9829,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,ZAPOTLANEJO - JUANACATLAN - JALISCO,20.46,-103.17,,19781001.0,40.0
10.18730/JNWB~,G9823,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,MEXTICACAN - MEXTICACAN - JALISCO,21.26,-102.77,,19781001.0,40.0
10.18730/S5C3E,G9820A,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,YAHUALICA - YAHUALICA - JALISCO,21.19,-102.9,1880.0,19770601.0,40.0
10.18730/JNVQD,G9818,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,TEOCALTICHE - TEOCALTICHE - JALISCO,21.46,-102.59,,19781001.0,40.0
10.18730/K37B7,G9819,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19770601,MEX,BELEN DEL REFUGIO - TEOCALTICHE - JALISCO,21.53,-102.43,,19770601.0,40.0
10.18730/JNVVH,G9812,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,300,19781001,MEX,LAGOS DE MORENO - LAGOS DE MORENO - JALISCO,21.37,-101.92,1880.0,19781001.0,40.0
