ACCENUMB,y_true,y_pred,y_proba,modelo,problema
G142A,0,0,0.04,RandomForest,Anegamiento
G20113,0,0,0.004,RandomForest,Anegamiento
G50718,0,0,0.07,RandomForest,Anegamiento
G20777A,0,0,0.002,RandomForest,Anegamiento
G24365,0,0,0.004,RandomForest,Anegamiento
G51278E,1,1,0.744,RandomForest,Anegamiento
G18200A,0,0,0.0,RandomForest,Anegamiento
G6921,1,1,0.994,RandomForest,Anegamiento
G20726,0,0,0.02,RandomForest,Anegamiento
G181,0,0,0.0,RandomForest,Anegamiento
G51374,0,0,0.0,RandomForest,Anegamiento
G7775,0,0,0.0,RandomForest,Anegamiento
G10054,0,0,0.004,RandomForest,Anegamiento
G50361,1,1,0.978,RandomForest,Anegamiento
G18613,0,0,0.0,RandomForest,Anegamiento
G51967,0,0,0.0,RandomForest,Anegamiento
G50481,0,0,0.002,RandomForest,Anegamiento
G52501,1,1,0.934,RandomForest,Anegamiento
G17227A,0,0,0.004,RandomForest,Anegamiento
G11048,0,0,0.0,RandomForest,Anegamiento
G7960,0,0,0.0,RandomForest,Anegamiento
G523,0,0,0.002,RandomForest,Anegamiento
G13181,0,0,0.002,RandomForest,Anegamiento
G11027E,0,0,0.002,RandomForest,Anegamiento
G19122,0,0,0.002,RandomForest,Anegamiento
G5022,0,0,0.028,RandomForest,Anegamiento
G21191,0,0,0.0,RandomForest,Anegamiento
G4715,1,1,0.762,RandomForest,Anegamiento
G18673,0,0,0.002,RandomForest,Anegamiento
G10987,0,0,0.0,RandomForest,Anegamiento
G11766,0,0,0.002,RandomForest,Anegamiento
G20972,0,0,0.324,RandomForest,Anegamiento
G22726,0,0,0.004,RandomForest,Anegamiento
G3384,0,0,0.0,RandomForest,Anegamiento
G22798,0,0,0.0,RandomForest,Anegamiento
G20173,0,0,0.0,RandomForest,Anegamiento
G948,0,0,0.0,RandomForest,Anegamiento
G22361,1,1,0.626,RandomForest,Anegamiento
G12856B,0,0,0.0,RandomForest,Anegamiento
G8918,0,0,0.0,RandomForest,Anegamiento
G19102,0,0,0.0,RandomForest,Anegamiento
G10195,0,0,0.412,RandomForest,Anegamiento
G51489,1,1,0.62,RandomForest,Anegamiento
G20097,0,0,0.0,RandomForest,Anegamiento
G30,0,0,0.002,RandomForest,Anegamiento
G18210,1,1,0.508,RandomForest,Anegamiento
G25,0,0,0.0,RandomForest,Anegamiento
G750,0,0,0.304,RandomForest,Anegamiento
G5711,0,0,0.032,RandomForest,Anegamiento
G24422,1,1,0.816,RandomForest,Anegamiento
G20335,0,0,0.0,RandomForest,Anegamiento
G24324A,0,0,0.002,RandomForest,Anegamiento
G4888,0,0,0.0,RandomForest,Anegamiento
G22405,1,1,0.874,RandomForest,Anegamiento
G7212,0,0,0.024,RandomForest,Anegamiento
G4762,1,1,0.628,RandomForest,Anegamiento
G50462,0,0,0.0,RandomForest,Anegamiento
G3336,0,0,0.0,RandomForest,Anegamiento
G10083,0,0,0.0,RandomForest,Anegamiento
G50340,1,1,0.72,RandomForest,Anegamiento
G18198,0,0,0.0,RandomForest,Anegamiento
G19908,0,0,0.044,RandomForest,Anegamiento
G21193,0,0,0.002,RandomForest,Anegamiento
G22337,0,0,0.046,RandomForest,Anegamiento
G3531,1,1,0.706,RandomForest,Anegamiento
G4647,1,1,0.928,RandomForest,Anegamiento
G18546,0,0,0.0,RandomForest,Anegamiento
G20027,0,0,0.0,RandomForest,Anegamiento
G18962A,0,0,0.0,RandomForest,Anegamiento
G12676,0,0,0.008,RandomForest,Anegamiento
