ACCENUMB,y_true,y_pred,y_proba,modelo,problema
G3128,0,0,0.05,RandomForest,Sequia
G14378,0,0,0.006,RandomForest,Sequia
G50981,1,1,0.956,RandomForest,Sequia
G38,0,0,0.006,RandomForest,Sequia
G52028,1,1,0.868,RandomForest,Sequia
G11402,0,0,0.0,RandomForest,Sequia
G22474,0,0,0.196,RandomForest,Sequia
G689,1,0,0.49,RandomForest,Sequia
G24313,1,1,0.918,RandomForest,Sequia
G20242,1,1,0.994,RandomForest,Sequia
G7884,0,0,0.0,RandomForest,Sequia
G50474C,0,0,0.036,RandomForest,Sequia
G7854,1,1,0.692,RandomForest,Sequia
G14691,0,1,0.61,RandomForest,Sequia
G3245,0,0,0.016,RandomForest,Sequia
G3341,0,0,0.0,RandomForest,Sequia
G2470,0,0,0.0,RandomForest,Sequia
G41,1,1,0.828,RandomForest,Sequia
G7802,0,0,0.01,RandomForest,Sequia
G915,0,0,0.002,RandomForest,Sequia
G20863,0,1,0.782,RandomForest,Sequia
G24371,0,0,0.024,RandomForest,Sequia
G13675,0,0,0.0,RandomForest,Sequia
G5908,0,0,0.048,RandomForest,Sequia
G2879,0,0,0.01,RandomForest,Sequia
G22624,1,1,0.95,RandomForest,Sequia
G19111,0,0,0.0,RandomForest,Sequia
G314,1,1,0.814,RandomForest,Sequia
G7932,0,0,0.0,RandomForest,Sequia
G139,0,0,0.054,RandomForest,Sequia
G20936B,1,1,0.616,RandomForest,Sequia
G16988,1,1,0.562,RandomForest,Sequia
G16395,0,0,0.0,RandomForest,Sequia
G58,1,1,0.944,RandomForest,Sequia
G20188,1,1,0.95,RandomForest,Sequia
G14252,0,0,0.198,RandomForest,Sequia
G20085,1,1,0.972,RandomForest,Sequia
G11050A,0,0,0.002,RandomForest,Sequia
G4367,0,0,0.044,RandomForest,Sequia
G6943,0,0,0.158,RandomForest,Sequia
G15792,1,1,1.0,RandomForest,Sequia
G51609,0,0,0.096,RandomForest,Sequia
G4843,1,0,0.222,RandomForest,Sequia
G6123,0,0,0.0,RandomForest,Sequia
G50484,1,1,0.982,RandomForest,Sequia
G51362,0,0,0.08,RandomForest,Sequia
G698,1,1,0.832,RandomForest,Sequia
G18457,0,0,0.006,RandomForest,Sequia
G22572,0,0,0.266,RandomForest,Sequia
G12884,0,0,0.014,RandomForest,Sequia
G18615A,0,0,0.0,RandomForest,Sequia
G3521,1,0,0.13,RandomForest,Sequia
G13040,0,0,0.138,RandomForest,Sequia
G13924,1,1,0.972,RandomForest,Sequia
G14853,0,1,0.724,RandomForest,Sequia
G13072,0,0,0.138,RandomForest,Sequia
G5020,0,0,0.304,RandomForest,Sequia
G5545,0,0,0.002,RandomForest,Sequia
G108,0,0,0.01,RandomForest,Sequia
G50849Y,1,1,0.966,RandomForest,Sequia
G51040V,1,1,0.94,RandomForest,Sequia
G4711,0,0,0.088,RandomForest,Sequia
G20165,0,0,0.07,RandomForest,Sequia
G9612,0,0,0.0,RandomForest,Sequia
G12871,0,0,0.1,RandomForest,Sequia
G23970,0,0,0.248,RandomForest,Sequia
G19118,0,0,0.0,RandomForest,Sequia
G24301,1,1,0.924,RandomForest,Sequia
G7001,0,0,0.002,RandomForest,Sequia
G20001,0,0,0.028,RandomForest,Sequia
G23507,0,0,0.14,RandomForest,Sequia
G18701B,0,0,0.0,RandomForest,Sequia
G7803,0,0,0.0,RandomForest,Sequia
G51056,1,1,0.874,RandomForest,Sequia
G13607,0,0,0.0,RandomForest,Sequia
G52614,1,1,0.604,RandomForest,Sequia
G50553,0,0,0.012,RandomForest,Sequia
G432,0,0,0.002,RandomForest,Sequia
G1729,0,0,0.0,RandomForest,Sequia
G24600A,0,0,0.056,RandomForest,Sequia
G13867,0,0,0.0,RandomForest,Sequia
G24309,0,0,0.19,RandomForest,Sequia
G307,1,1,0.8,RandomForest,Sequia
G23722A,0,0,0.168,RandomForest,Sequia
G20348,0,0,0.174,RandomForest,Sequia
G20051,0,0,0.244,RandomForest,Sequia
G22597,1,0,0.452,RandomForest,Sequia
G13625,0,0,0.0,RandomForest,Sequia
G51643,1,1,0.916,RandomForest,Sequia
G4774,0,0,0.056,RandomForest,Sequia
G880,0,0,0.0,RandomForest,Sequia
G19102,0,0,0.004,RandomForest,Sequia
G607,1,0,0.394,RandomForest,Sequia
G4722,0,0,0.078,RandomForest,Sequia
G710A,1,1,0.954,RandomForest,Sequia
G20625,0,0,0.06,RandomForest,Sequia
G50551,0,0,0.014,RandomForest,Sequia
G51616,1,1,0.876,RandomForest,Sequia
G14659,0,0,0.012,RandomForest,Sequia
G6406,1,0,0.474,RandomForest,Sequia
G2670,0,0,0.002,RandomForest,Sequia
G51286D,1,1,0.858,RandomForest,Sequia
G2006,0,0,0.342,RandomForest,Sequia
G20018,1,1,0.696,RandomForest,Sequia
G22502,0,0,0.136,RandomForest,Sequia
G24384,0,0,0.0,RandomForest,Sequia
G20237,1,1,0.966,RandomForest,Sequia
G23438,0,0,0.058,RandomForest,Sequia
G14209,0,0,0.02,RandomForest,Sequia
G50715,0,0,0.026,RandomForest,Sequia
G23578,1,1,0.864,RandomForest,Sequia
G14075,0,0,0.014,RandomForest,Sequia
G11616,0,1,0.562,RandomForest,Sequia
G300A,0,0,0.036,RandomForest,Sequia
G1341,0,0,0.066,RandomForest,Sequia
G20744,1,1,0.998,RandomForest,Sequia
G20627,0,0,0.114,RandomForest,Sequia
G528,1,1,0.77,RandomForest,Sequia
G18654,0,0,0.0,RandomForest,Sequia
G549,1,0,0.356,RandomForest,Sequia
G50011,0,0,0.126,RandomForest,Sequia
G8919,0,0,0.002,RandomForest,Sequia
G11032,0,0,0.0,RandomForest,Sequia
G15815,0,0,0.04,RandomForest,Sequia
G50963,0,0,0.078,RandomForest,Sequia
G10121,1,1,0.976,RandomForest,Sequia
G12234,0,0,0.17,RandomForest,Sequia
G7236,0,1,0.848,RandomForest,Sequia
G3098,0,0,0.014,RandomForest,Sequia
G50967,1,0,0.228,RandomForest,Sequia
G19992,0,0,0.034,RandomForest,Sequia
G8154,1,1,0.972,RandomForest,Sequia
G1669,0,1,0.606,RandomForest,Sequia
G5889,0,0,0.01,RandomForest,Sequia
G51462,1,1,0.93,RandomForest,Sequia
G6794,0,0,0.0,RandomForest,Sequia
G20886,0,0,0.248,RandomForest,Sequia
G20256,1,1,0.99,RandomForest,Sequia
G24580,0,0,0.004,RandomForest,Sequia
G18635,0,0,0.0,RandomForest,Sequia
G4083,1,1,0.576,RandomForest,Sequia
G51187,0,0,0.042,RandomForest,Sequia
G18574,0,0,0.002,RandomForest,Sequia
G12072,0,0,0.048,RandomForest,Sequia
G2820,0,0,0.002,RandomForest,Sequia
G24314,0,0,0.158,RandomForest,Sequia
G4551,0,0,0.218,RandomForest,Sequia
G8159,1,1,0.726,RandomForest,Sequia
G20010,0,0,0.126,RandomForest,Sequia
G6293,0,0,0.054,RandomForest,Sequia
G14017,1,1,0.794,RandomForest,Sequia
G50870A,1,1,0.84,RandomForest,Sequia
G11614,1,1,0.818,RandomForest,Sequia
G52353,0,0,0.014,RandomForest,Sequia
G22699,1,1,0.906,RandomForest,Sequia
G2951,0,0,0.036,RandomForest,Sequia
G938,0,0,0.002,RandomForest,Sequia
G5557,0,0,0.048,RandomForest,Sequia
G6386,0,0,0.0,RandomForest,Sequia
G22027,0,0,0.008,RandomForest,Sequia
G1805,0,0,0.0,RandomForest,Sequia
G1462,0,0,0.214,RandomForest,Sequia
G13717,0,0,0.0,RandomForest,Sequia
G19863,1,0,0.376,RandomForest,Sequia
G51287,1,1,0.958,RandomForest,Sequia
G21161,0,0,0.014,RandomForest,Sequia
G20969,1,1,0.976,RandomForest,Sequia
G24588,0,0,0.008,RandomForest,Sequia
G23160,0,0,0.07,RandomForest,Sequia
G7885,0,0,0.0,RandomForest,Sequia
G20934,1,1,0.568,RandomForest,Sequia
G50426,0,0,0.01,RandomForest,Sequia
G14230,1,0,0.428,RandomForest,Sequia
G18670,0,0,0.0,RandomForest,Sequia
G3191,0,0,0.004,RandomForest,Sequia
G24324A,0,0,0.002,RandomForest,Sequia
G24487A,0,0,0.114,RandomForest,Sequia
G20212,1,1,0.622,RandomForest,Sequia
G17196,0,0,0.016,RandomForest,Sequia
G1769,0,0,0.044,RandomForest,Sequia
G62A,0,0,0.034,RandomForest,Sequia
G441,0,0,0.046,RandomForest,Sequia
G20106,0,0,0.078,RandomForest,Sequia
G9664,0,0,0.114,RandomForest,Sequia
G20719,1,1,0.956,RandomForest,Sequia
G16159,1,0,0.34,RandomForest,Sequia
