DOI,ACCENUMB,CURATION,GENUS,SPECIES,GRIN_NAME,SAMPSTAT,ORIGCTY,COLLSITE,ELEVATION,COLLSRC,MODCF_CloudForestPrediction,MODCF_seasonality_concentration,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,BDRICM_M,SLGWRB,ACDWRB_M_ss,bio18,bio19
10.18730/PGDK9,G10001,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-2.9470184280009937,MEX,EL AGUACATE - IXCAPUZALCO - GUERRERO,0.1021794112429182,0.3859604233784113,-0.5232359390363306,1.775476428844933,1.396685665822936,-0.3229106206362619,-2.7284437307054583,-0.1099513511812154,0.2062222827571616,0.0850163337783801,-0.6949399792399215
10.18730/K54N8,G52589,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,OAXACA - OAXACA,0.7112068435333239,0.3859604233784113,-0.3863276117533996,1.720863128351714,0.5726336395842748,-0.9962946730130688,-2.217897479106292,-0.1099513511812154,0.2062222827571616,-0.2164518219547735,-0.7601217569156273
10.18730/K54M7,G52588,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,SAN CRISTOBAL DE LAS CASAS - CHIAPAS,1.8754141999729723,0.3859604233784113,1.625225038801621,-0.3544422903906092,0.342420684263496,0.2040855715054277,0.6071251130757639,-0.1099513511812154,0.2062222827571616,1.049714432124472,-0.7099819279343151
10.18730/K4JEH,G2726,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,TEMACALAYUCA - TEPANCO - PUEBLA,0.8514410075646425,0.3859604233784113,-0.5151851364347757,1.3203655914014412,0.671439693598872,-1.4354580792105334,-0.0395668056165138,-0.1099513511812154,-1.1698836982734446,-0.490513781712186,-0.7651357398137585
10.18730/K4VFA,G52254,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,-2.9470184280009937,MEX,10 KM N VALLE DE BRAVO - VALLE DE BRAVO - MEXICO,1.431058468870127,0.3859604233784113,0.3236703080837955,1.047299088935346,0.7742578828989828,-0.1472452232556987,0.2667609453429861,-0.1099513511812154,0.2062222827571616,0.9072022130506174,-0.6347721844623468
10.18730/K4A06,G51766,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,XALATLA - CHICONTEPEC - VERACRUZ,-1.0367524535177202,0.3859604233784113,-0.5774689261226046,-1.1281307140445456,-0.938546395082666,0.379750947072505,-0.4820402236691249,-0.1099513511812154,0.2062222827571616,2.3158806862037173,0.252702788506879
10.18730/PE3YM,G51798,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,MEX,HUATUSCO - VERACRUZ,-0.5622601175706863,0.3859604233784113,0.0484562638720893,-0.5546910588657457,-0.9335309389846947,1.4337432659154268,0.1646516950231528,-0.1099513511812154,0.2062222827571616,0.7701712331719113,-0.1634577920380122
10.18730/K38E5,G9873,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,ECU,GUAYAQUIL - GUAYAQUIL - GUAYAS,-0.6409222076662664,0.3859604233784113,-0.5676634231821487,-0.7913486943363615,1.6589978080290706,-0.5571310923077175,0.5390522795292084,-0.1099513511812154,1.582328263787768,2.18433094552016,-0.820289551693202
10.18730/K37XS,G9854,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,ECU,QUITO - QUITO - PICHINCHA,2.2227310989459115,0.3859604233784113,2.651868208431552,-0.9460863790671488,-0.3612586736773833,0.3211958073411554,0.6071251130757639,-0.1099513511812154,0.2062222827571616,-0.9125691997386012,0.7139892151349512
10.18730/K37VQ,G9852,FULL,Phaseolus,vulgaris,Phaseolus vulgaris,0.3591811050669926,ECU,IBARRA - IBARRA - IMBABURA,1.374510423864714,0.3859604233784113,2.416651564322177,-1.2828683987753329,-0.7283956468085442,-0.6156862538525528,0.6071251130757639,-0.1099513511812154,0.2062222827571616,-0.1506769516129945,-0.3138772789819488
